date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:19	76602/76602	---MCZ	200	added ('OK')	text/html	etag:cacheable:a92d65ac2d9532ac9056aeda321dfcb0	https://theme330-drugs.myshopify.com/	C:/Users/Sakofred/Desktop/Pharmaso/theme330-drugs.myshopify.com/index.html	(from )
17:47:19	366/366	---MCZ	200	added ('OK')	text/plain	etag:cacheable:7d550948f9910c31307454d772944afd	https://theme330-drugs.myshopify.com/robots.txt		(from )
17:47:21	315/315	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2014:47:24%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/files/index_7956cef2-3d08-44b3-944b-e176e540893e_32x32.png?v=1494263388	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/files/index_7956cef2-3d08-44b3-944b-e176e540893e_32x329fee.png	(from https://theme330-drugs.myshopify.com/)
17:47:22	6592/6592	---M--	200	added ('OK')	image/gif	date:Tue,%2012%20Dec%202017%2014:47:25%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/t/2/assets/shopify_logo.gif?14650155798113897695	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/t/2/assets/shopify_logo315e.gif	(from https://theme330-drugs.myshopify.com/)
17:47:23	2922/2922	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2027%20Oct%202017%2007:00:03%20GMT	http://cdn.shopify.com/s/javascripts/currencies.js	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/javascripts/currencies.js	(from https://theme330-drugs.myshopify.com/)
17:47:24	6954/6954	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2008%20May%202017%2013:15:18%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/t/2/assets/currency-tools.js?14650155798113897695	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/t/2/assets/currency-tools315e.js	(from https://theme330-drugs.myshopify.com/)
17:47:25	1547/1547	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Dec%202017%2012:16:04%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/files/logo-slogan_1024x1024.png?v=1494263930	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/files/logo-slogan_1024x10247b3d.png	(from https://theme330-drugs.myshopify.com/)
17:47:26	116/116	---MC-	302	error ('Found')	text/html	date:Tue,%2012%20Dec%202017%2014:47:29%20GMT	https://theme330-drugs.myshopify.com/account	C:/Users/Sakofred/Desktop/Pharmaso/theme330-drugs.myshopify.com/account	(from https://theme330-drugs.myshopify.com/)
17:47:27	48550/48550	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Dec%202017%2014:47:30%20GMT	https://theme330-drugs.myshopify.com/account/login	C:/Users/Sakofred/Desktop/Pharmaso/theme330-drugs.myshopify.com/account/login.html	(from https://theme330-drugs.myshopify.com/)
17:47:28	44038/44038	---MCZ	200	added ('OK')	text/html	etag:cacheable:6245ae6016145c6188602f42bf7df0a2	https://theme330-drugs.myshopify.com/cart	C:/Users/Sakofred/Desktop/Pharmaso/theme330-drugs.myshopify.com/cart.html	(from https://theme330-drugs.myshopify.com/)
17:47:29	51573/51573	---MCZ	200	added ('OK')	text/html	etag:cacheable:97e4e0075b1a853a4852af1b69718328	https://theme330-drugs.myshopify.com/collections	C:/Users/Sakofred/Desktop/Pharmaso/theme330-drugs.myshopify.com/collections.html	(from https://theme330-drugs.myshopify.com/)
17:47:30	51328/51328	---MCZ	200	added ('OK')	text/html	etag:cacheable:681d2d3d9a0e1a5c7da8a97b6d1d8a00	https://theme330-drugs.myshopify.com/pages/about-us	C:/Users/Sakofred/Desktop/Pharmaso/theme330-drugs.myshopify.com/pages/about-us.html	(from https://theme330-drugs.myshopify.com/)
